日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/07/01,18719706,11116195742,596.0,597.0,591.0,593.0,-2.0,20565
110/07/02,19633718,11562140245,590.0,593.0,587.0,588.0,-5.0,24056
110/07/05,30274105,17957255325,588.0,597.0,588.0,591.0,3.0,21836
110/07/06,13830591,8185167307,595.0,596.0,589.0,592.0,1.0,15751
110/07/07,17329148,10250342169,590.0,594.0,588.0,594.0,2.0,18023
110/07/08,21596183,12733045117,595.0,595.0,588.0,588.0,-6.0,23352
110/07/09,30602492,17821338170,582.0,585.0,580.0,584.0,-4.0,51232
110/07/12,33011596,19612592644,595.0,597.0,590.0,593.0,9.0,28636
110/07/13,54894335,33158730436,600.0,608.0,599.0,607.0,14.0,60121
110/07/14,39670241,24276719505,613.0,615.0,608.0,613.0,6.0,43173
110/07/15,23057868,14117908308,613.0,614.0,608.0,614.0,1.0,29913
110/07/16,61882128,36562482701,591.0,595.0,588.0,589.0,-25.0,86192
110/07/19,43248966,25135531384,583.0,584.0,578.0,582.0,-7.0,86753
110/07/20,16352855,9502338666,579.0,584.0,579.0,581.0,-1.0,27956
110/07/21,26476215,15440430690,586.0,586.0,580.0,585.0,4.0,32757
110/07/22,27075950,16014166571,589.0,594.0,587.0,591.0,6.0,23365
110/07/23,15705191,9206201715,592.0,592.0,583.0,585.0,-6.0,23635
110/07/26,22442745,13089591086,591.0,591.0,580.0,580.0,-5.0,37826
110/07/27,18925325,10997959654,581.0,584.0,580.0,580.0,0.0,20197
110/07/28,39744486,22884618824,576.0,579.0,573.0,579.0,-1.0,75078
110/07/29,25014772,14525643464,585.0,585.0,577.0,583.0,4.0,26868
110/07/30,26141286,15170421873,581.0,582.0,578.0,580.0,-3.0,16353
